"am_data","am_precipitacao","am_temp_maxima","am_umidade","am_ocorreu_queimada","am_risco_fogo_inpe"
1999-05-15,10.5,27.8,91.5,false,NULL
1999-05-16,57.7,32.5,76.5,false,NULL
1999-05-17,0.5,32.6,75.75,false,NULL
1999-05-18,0,33.7,78,false,NULL
1999-05-19,0,34.3,70.5,false,NULL
1999-05-20,0,32.3,80.5,false,NULL
1999-05-21,0,32.9,80.25,false,NULL
1999-05-22,0,33.5,81,false,NULL
1999-05-23,0,30.5,85.25,false,NULL
1999-05-24,13,33.3,71.75,false,NULL
1999-05-25,6.3,33.9,68,false,NULL
1999-05-26,0,34.3,73.5,false,NULL
1999-05-27,0,33.7,74,false,NULL
1999-05-28,0,33.7,70,false,NULL
1999-05-29,0,35,67.25,false,NULL
1999-05-30,0,34.9,74.5,false,NULL
1999-05-31,0,34.7,71,false,NULL
1999-06-01,0,33.6,71.75,false,NULL
1999-06-02,0,34.1,70,false,NULL
1999-06-03,0,34.9,69.25,false,NULL
1999-06-04,0,33.7,68.25,false,NULL
1999-06-05,0,35.3,68,false,NULL
1999-06-06,0,34.9,68.5,false,NULL
1999-06-07,0,34.1,69.25,false,NULL
1999-06-19,0,33.9,70.25,false,NULL
1999-06-20,0,34.1,66.75,false,NULL
1999-06-21,0,34.9,70,false,NULL
1999-06-22,0,34.7,70.25,false,NULL
1999-06-23,0,33.3,73.5,false,NULL
1999-06-24,0,33.1,72.5,false,NULL
1999-06-25,0,31.9,81.75,false,NULL
1999-06-26,0,33.6,67.25,false,NULL
1999-06-27,0,34.5,66.75,false,NULL
1999-06-28,0,34.9,66.75,false,NULL
1999-06-29,0,35.1,65,false,NULL
1999-06-30,0,33.7,66.75,false,NULL
1999-07-01,0,34.3,68,false,NULL
1999-07-02,0,35.1,62.75,false,NULL
1999-07-03,0,34.9,64.75,false,NULL
1999-07-04,0,35.3,58.25,false,NULL
1999-07-05,0,35.7,61,false,NULL
1999-07-06,0,34.7,63.5,false,NULL
1999-07-07,0,34.4,65.25,false,NULL
1999-07-08,0,35.1,66.75,false,NULL
1999-07-09,0,35.7,62.75,false,NULL
1999-07-10,0,33.9,63,false,NULL
1999-07-11,0,34.7,61,false,NULL
1999-07-12,0,35.1,63,false,NULL
1999-07-13,0,35.5,57.75,false,NULL
1999-07-14,0,36.3,59.75,false,NULL
1999-07-15,0,35.6,61,false,NULL
1999-07-16,0,36.2,57.75,false,NULL
1999-07-17,0,35.1,59.25,false,NULL
1999-07-18,0,34.9,61.25,false,NULL
1999-07-19,0,35.5,59,false,NULL
1999-07-20,0,35.3,59.75,false,NULL
1999-07-21,0,36.1,57.5,false,NULL
1999-07-22,0,35.7,55.75,false,NULL
1999-07-23,0,36,61.5,false,NULL
1999-07-24,0,36.3,55.5,false,NULL
1999-07-25,0,36.3,58,false,NULL
1999-07-26,0,35.9,62.75,false,NULL
1999-07-27,0,35.7,56,false,NULL
1999-07-28,0,36.6,56.25,false,NULL
1999-07-29,0,36.9,52.5,false,NULL
1999-07-30,0,36.8,50.75,false,NULL
1999-07-31,0,35.9,61.5,false,NULL
1999-08-01,0,36.9,50,false,NULL
1999-08-02,0,37.4,51.25,false,NULL
1999-08-03,0,36.7,56,false,NULL
1999-08-26,0,37.1,55.25,false,NULL
2000-05-11,0,33.2,82.25,false,NULL
2000-05-12,0,35.4,71.25,false,NULL
2000-05-13,0,34.1,68.75,false,NULL
2000-05-14,0,33.7,69,false,NULL
2000-05-15,0,35,70.25,false,NULL
2000-05-16,0,36.1,66,false,NULL
2000-05-17,0,34.7,76.5,false,NULL
2000-05-18,0,30.6,91.75,false,NULL
2000-05-19,10.3,33.9,75.25,false,NULL
2000-05-20,0.7,31.5,80.75,false,NULL
2000-05-21,10.4,33.5,73.75,false,NULL
2000-05-22,6.4,33,73.75,false,NULL
2000-05-23,0,32.7,73,false,NULL
2000-05-24,0,33.5,68.75,false,NULL
2000-05-25,0,34.1,69,false,NULL
2000-05-26,0,34.7,68.75,false,NULL
2000-05-27,0,35.3,70.5,false,NULL
2000-05-28,0,34.8,67.75,false,NULL
2000-05-29,0,34.1,68,false,NULL
2000-05-30,0,33.9,73.5,false,NULL
2000-05-31,0.3,33.6,74.75,false,NULL
2000-06-01,0.2,34.3,71.25,false,NULL
2000-06-02,0,34.9,68,false,NULL
2000-06-03,0,33.5,66.75,false,NULL
2000-06-04,0,33.3,63,false,NULL
2000-06-05,0,33.3,69.25,false,NULL
2000-06-06,0,33.5,65.75,false,NULL
2000-06-07,0,33.9,67.5,false,NULL
2000-06-08,0,33.5,75.5,false,NULL
2000-06-09,0,33.3,70.25,false,NULL
2000-06-10,5.1,34.5,64.75,false,NULL
2000-06-11,1.3,34.5,65.5,false,NULL
2000-06-12,0,33.8,70.75,false,NULL
2000-06-13,0,33.9,66.5,false,NULL
2000-06-14,0,32.7,69,false,NULL
2000-06-15,0,33.8,68.25,false,NULL
2000-06-16,0,34.9,68.5,false,NULL
2000-06-17,0,35,68,false,NULL
2000-06-18,0,35.5,66.75,false,NULL
2000-06-19,0,32.9,83.25,false,NULL
2000-06-20,0,34.1,77,false,NULL
2000-06-21,1.4,32.8,72.5,false,NULL
2000-06-22,16.1,32.1,77.75,false,NULL
2000-06-23,0,33,67.5,false,NULL
2000-06-24,0,33,68.75,false,NULL
2000-06-25,0,34.5,64.75,false,NULL
2000-06-26,0,33.7,69.25,false,NULL
2000-06-27,0,34.1,69.5,false,NULL
2000-06-28,0,33.5,65,false,NULL
