"am_data","am_precipitacao","am_temp_maxima","am_umidade","am_ocorreu_queimada","am_risco_fogo_inpe"
2013-01-24,7.9,31.3,93,false,NULL
2013-01-25,4.6,33.1,90.25,false,NULL
2013-01-26,16.6,34.7,82,false,NULL
2013-01-27,18.6,30.9,90.25,false,NULL
2013-01-28,22.3,30.9,87.25,false,NULL
2013-01-29,1.1,32.7,84.5,false,NULL
2013-01-30,0,31.2,86.5,false,NULL
2013-01-31,16.1,31.5,90,false,NULL
2013-02-01,0.1,32,95.25,false,NULL
2013-02-02,6.3,33.5,87.25,false,NULL
2013-02-03,7.4,34.6,81.25,false,NULL
2013-02-04,1.5,29.7,88.25,false,NULL
2013-02-05,0,31.8,89.75,false,NULL
2013-02-06,0,30.8,87.75,false,NULL
2013-02-07,21.7,33,86.75,false,NULL
2013-02-08,0,30.9,87.25,false,NULL
2013-02-09,17,33.4,84,false,NULL
2013-02-10,7.4,30.6,92.25,false,NULL
2013-02-11,0,33.8,86,false,NULL
2013-02-12,47.8,31.9,87.5,false,NULL
2013-02-13,10.6,32.1,83.25,false,NULL
2013-02-14,13.3,33.9,79.75,false,NULL
2013-02-15,0,32.2,80.75,false,NULL
2013-02-16,0,33.2,77.5,false,NULL
2013-02-17,14.8,34.7,76.25,false,NULL
2013-02-18,0,31.7,87.5,false,NULL
2013-02-19,0,31.4,89.25,false,NULL
2013-02-20,4.1,33.4,78.25,false,NULL
2013-02-21,9.4,34.6,79.5,false,NULL
2013-02-22,0,34.7,80.25,false,NULL
2013-02-23,0,33.7,76.75,false,NULL
2013-02-24,0,32.6,84.75,false,NULL
2013-02-25,0,34.4,80,false,NULL
2013-02-26,0,33.7,87,false,NULL
2013-02-27,0,32.6,85,false,NULL
2013-02-28,9.5,34.3,80.5,false,NULL
2013-03-01,1,33,81.5,true,NULL
2013-03-02,0,32.3,84.25,false,NULL
2013-03-03,0,34.4,78.25,false,NULL
2013-03-04,0,34.3,79.75,false,NULL
2013-03-05,0,34.4,82,false,NULL
2013-03-06,0,33.6,76.75,false,NULL
2013-03-07,0,33.7,81.5,false,NULL
2013-03-08,0,34.8,76.25,false,NULL
2013-03-09,0,33.6,79.5,false,NULL
2013-03-10,0,34.4,82.25,false,NULL
2013-03-11,0,34,86.5,false,NULL
2013-03-12,15.4,33.7,83.75,false,NULL
2013-03-13,50,34.6,80.5,false,NULL
2013-03-14,0,33.9,81.25,false,NULL
2013-03-15,0,32.9,88.25,false,NULL
2013-03-16,0,33.7,87.5,false,NULL
2013-03-17,0,33.1,90,false,NULL
2013-03-18,3.4,30.6,87.5,false,NULL
2013-03-19,56.6,32.7,81.75,false,NULL
2013-03-20,30.8,33.2,88.5,false,NULL
2013-03-21,0,34.2,79,false,NULL
2013-03-22,0,33.2,84.25,false,NULL
