"data","precipitacao","temperatura","umidade","dias_de_secura","indice_risco","classe_risco"
1961-06-02,0.0,33.4,75.25,105.0,0.12001328608389651,0
1961-06-03,0.0,33.5,76.0,105.0,0.11960035047158045,0
1961-06-04,0.0,33.5,73.0,105.0,0.12215106884656676,0
1961-06-05,0.0,34.0,78.75,105.0,0.11835810029726208,0
1961-06-06,0.0,33.2,74.5,105.0,0.12019790194135914,0
1961-06-07,0.0,33.6,77.5,105.0,0.11854615949209492,0
1961-06-08,0.0,34.0,79.25,105.0,0.11792900748651672,0
1961-06-09,0.0,32.8,79.25,105.0,0.11530836287570523,0
1961-06-10,0.0,32.8,81.5,105.0,0.11342035450842565,0
1961-06-11,0.0,33.6,74.75,105.0,0.12088868839223813,0
1961-06-12,0.0,34.2,75.5,105.0,0.12159589691365176,0
1961-06-13,0.0,33.2,82.25,105.0,0.11364549579801425,0
1961-06-14,0.0,32.0,81.75,105.0,0.11149526404639029,0
1961-06-15,3.3,31.6,90.75,105.0,0.10325721182429017,0
1961-06-16,0.0,31.2,83.75,66.15234569390078,0.716184389179334,3
1961-06-17,8.0,32.0,77.25,83.34264393370049,0.5257182187816036,2
1961-06-18,2.4,32.3,75.25,30.022897788896035,0.3998675447010351,1
1961-06-19,0.0,32.2,74.5,38.82096167712619,0.5792320851881755,2
1961-06-20,0.0,32.8,80.25,60.337895161893904,0.7778469435247358,3
1961-06-21,0.0,33.4,75.5,72.59966809728239,0.7290014250944988,3
1961-06-22,0.0,33.3,77.25,80.55662474746485,0.5921655452997378,2
1961-06-23,0.0,32.5,71.75,89.38566746625087,0.4246989375949361,2
1961-06-24,0.0,31.7,75.0,91.55687374387149,0.3639441739162849,1
1961-06-25,0.0,32.4,76.5,91.55687374387149,0.3649661493642601,1
1961-06-26,0.0,33.3,75.0,92.16314761357852,0.3623301638104989,1
1961-06-27,0.0,33.2,76.75,92.16314761357852,0.357182924136546,1
1961-06-28,0.0,32.6,74.25,93.64961802747342,0.32835980291765293,1
1961-06-29,0.0,32.2,76.25,94.1002167658281,0.3121414214726879,1
1961-06-30,0.0,33.8,72.25,94.1002167658281,0.33087338458081395,1
1961-07-01,0.0,33.6,73.25,95.35057382861962,0.3010187165342455,1
1961-07-02,0.0,33.4,72.25,95.35057382861962,0.3019865908970776,1
1961-07-03,0.0,33.4,73.5,98.45113661893784,0.23673725661397768,1
1961-07-04,0.0,33.9,72.5,99.40081871097415,0.2219894842733434,1
1961-07-05,0.0,34.3,71.0,99.40081871097415,0.22596375953202114,1
1961-07-06,0.0,34.6,68.75,99.40081871097415,0.23072174834955636,1
1961-07-07,0.0,34.4,74.75,99.40081871097415,0.2205520412392057,1
1961-07-08,0.0,34.8,72.75,99.40081871097415,0.22530479260282388,1
1961-07-09,0.0,35.3,75.75,99.40081871097415,0.2226210736025199,1
1961-07-10,0.0,33.0,81.25,99.40081871097415,0.20503441754739246,1
1961-07-11,0.0,33.6,74.75,99.40081871097415,0.21730862886804092,1
1961-07-12,0.0,33.1,73.25,99.40081871097415,0.21755693179692562,1
1961-07-13,0.0,33.0,73.25,99.40081871097415,0.2171472200609615,1
1961-07-14,0.0,33.2,77.5,99.40081871097415,0.21150743445666806,1
1961-07-15,0.0,34.4,67.0,99.40081871097415,0.23259628071967905,1
1961-07-16,0.0,33.8,78.0,100.0590338350569,0.2009977597430398,1
1961-07-17,0.0,34.7,76.25,100.0590338350569,0.2069392405168281,1
1961-07-18,0.0,34.4,75.75,101.67285451382033,0.17705649050718156,1
1961-07-19,0.0,34.0,75.5,102.16205736305571,0.16750222464206274,1
1961-07-20,2.0,34.5,77.75,102.16205736305571,0.1663586991349465,1
1961-07-21,0.0,34.6,71.5,77.2124219486647,0.6940686383802877,2
1961-07-22,0.0,34.2,71.5,88.8154259138577,0.45187135438839077,2
1961-07-23,0.0,34.3,69.25,94.30746513232589,0.3363087617045513,1
1961-07-24,0.0,34.2,71.75,96.21260230252543,0.2892993758483751,1
1961-07-25,0.0,34.5,74.0,98.15622579649776,0.2466521395313353,1
1961-07-26,0.0,34.4,75.25,100.13911308955583,0.20576513865730392,1
1961-07-27,0.0,32.8,79.25,100.13911308955583,0.19406429252858862,1
1961-07-28,0.0,34.6,68.75,100.13911308955583,0.21601407775153175,1
1961-07-29,0.0,35.0,73.25,100.13911308955583,0.21097675828892576,1
1961-07-30,0.0,34.6,72.0,100.13911308955583,0.2112678529445967,1
1961-07-31,0.0,35.3,75.75,100.54047172403833,0.20084666755895342,1
1961-08-01,0.0,35.5,68.5,100.54047172403833,0.2119437582868774,1
1961-08-02,0.0,34.8,72.75,100.54047172403833,0.2032678939467036,1
1961-08-03,0.0,34.3,66.5,100.54047172403833,0.21016021673415167,1
1961-08-04,0.0,34.4,63.5,100.54047172403833,0.21475352353167007,1
1961-08-05,0.0,35.4,63.0,101.3480213895658,0.20307192476696972,1
1961-08-06,0.0,35.3,60.5,101.3480213895658,0.206003178636103,1
1961-08-07,0.0,35.4,61.75,101.3480213895658,0.20472381135672274,1
1961-08-08,0.0,35.4,59.5,101.3480213895658,0.20769720721827817,1
1961-08-09,0.0,35.0,60.75,101.3480213895658,0.20455762878283182,1
1961-08-10,0.0,35.5,58.0,101.3480213895658,0.21005795392584808,1
1961-08-11,0.0,35.0,63.0,101.3480213895658,0.20160570148345372,1
1961-08-12,0.0,34.4,57.25,101.3480213895658,0.20686788461268857,1
1961-08-13,0.0,35.2,63.0,101.3480213895658,0.2023388131252117,1
1961-08-14,0.0,35.5,56.75,101.3480213895658,0.21171282226034796,1
