"precipitacao","temperatura","umidade","dias_de_secura","classe_risco"
0.023712737127371274,0.48965517241379286,0.6229508196721312,0.045797764433144934,3
0.01829268292682927,0.47586206896551725,0.7377049180327869,0.06109715356357697,3
0.0,0.5586206896551721,0.6516393442622951,0.07247671070794812,3
0.0,0.5310344827586205,0.7008196721311475,0.12364138001912683,3
0.0,0.4482758620689654,0.8483606557377049,0.1601571112641939,3
0.013550135501355014,0.517241379310345,0.7868852459016393,0.19210945329979187,3
0.10094850948509486,0.4620689655172412,0.7663934426229508,0.1587697880026809,3
0.3861788617886179,0.5241379310344825,0.7704918032786885,0.024081773736929317,3
0.0,0.44137931034482764,0.75,2.5590201232678355E-5,0
0.05420054200542006,0.4482758620689654,0.7909836065573771,0.002319044546594465,0
0.1361788617886179,0.37931034482758613,0.8237704918032787,0.004953801559357158,0
0.0,0.49655172413793086,0.75,0.001175208121124746,0
0.013550135501355014,0.44137931034482764,0.7991803278688525,0.013258585130537945,3
0.01693766937669377,0.4551724137931034,0.7090163934426229,0.03717978792576971,3
0.07113821138211382,0.17931034482758626,0.860655737704918,0.04375759852954661,2
0.3909214092140922,0.5034482758620689,0.6147540983606558,0.01701636073520824,3
0.0033875338753387536,0.5103448275862069,0.6024590163934426,1.5652158814884463E-5,0
0.0,0.5862068965517242,0.639344262295082,0.0012519411385893547,0
0.0,0.6275862068965514,0.5163934426229508,0.009989107769744593,3
0.0,0.48965517241379286,0.680327868852459,0.020781336031788895,3
0.0,0.5310344827586205,0.6762295081967213,0.04439404231795773,3
0.0,0.5724137931034482,0.6885245901639344,0.08350740233857089,3
0.0,0.3655172413793103,0.7581967213114754,0.08996721072877464,3
0.0880758807588076,0.5586206896551721,0.5368852459016393,0.11450463228064958,3
0.042682926829268296,0.5999999999999998,0.47540983606557374,0.0193634114508439,3
0.0,0.6275862068965514,0.5655737704918032,0.021630087337976316,3
0.0,0.5862068965517242,0.5737704918032787,0.0626895820657671,3
0.0,0.5862068965517242,0.5081967213114754,0.09008514500494967,3
0.0,0.6758620689655171,0.46311475409836067,0.11229903613621546,3
