3.5,32.3,77,0
2.7,32.1,84,0
0,33.3,78.75,0
0,32.9,81.75,0
0,31.7,90.75,0
2,32.7,87,1
14.9,31.9,85.75,0
57,32.8,86,0
0,31.6,84.75,0
8,31.7,87.25,0
20.1,30.7,89.25,0
0,32.4,84.75,0
2,31.6,87.75,0
2.5,31.8,82.25,0
10.5,27.8,91.5,0
57.7,32.5,76.5,0
0.5,32.6,75.75,0
0,33.7,78,0
0,34.3,70.5,0
0,32.3,80.5,0
0,32.9,80.25,0
0,33.5,81,0
0,30.5,85.25,0
13,33.3,71.75,0
6.3,33.9,68,0
0,34.3,73.5,0
0,33.7,74,0
0,33.7,70,0
0,35,67.25,0
0,34.9,74.5,0
0,34.7,71,1
0,33.6,71.75,1
0,34.1,70,1
0,34.9,69.25,1
0,33.7,68.25,1
0,35.3,68,1
0,34.9,68.5,1
0,34.1,69.25,1
0,33.9,70.25,1
0,34.1,66.75,2
0,34.9,70,2
0,34.7,70.25,2
0,33.3,73.5,2
0,33.1,72.5,2
0,31.9,81.75,2
0,33.6,67.25,2
0,34.5,66.75,2
0,34.9,66.75,2
0,35.1,65,2
0,33.7,66.75,2
0,34.3,68,2
0,35.1,62.75,3
0,34.9,64.75,3
0,35.3,58.25,3
0,35.7,61,3
0,34.7,63.5,3
0,34.4,65.25,3
0,35.1,66.75,3
0,35.7,62.75,3
0,33.9,63,3
0,34.7,61,3
0,35.1,63,3
0,35.5,57.75,3
0,36.3,59.75,3
0,35.6,61,3
0,36.2,57.75,3
0,35.1,59.25,3
0,34.9,61.25,3
0,35.5,59,3
0,35.3,59.75,3
0,36.1,57.5,4
0,35.7,55.75,4
0,36,61.5,3
0,36.3,55.5,4
0,36.3,58,4
0,35.9,62.75,3
0,35.7,56,3
0,36.6,56.25,3
0,36.9,52.5,3
0,36.8,50.75,3
0,35.9,61.5,3
0,36.9,50,3
0,37.4,51.25,3
0,36.7,56,3
0,37.1,55.25,3
0,33.2,82.25,2
0,35.4,71.25,3
0,34.1,68.75,2
0,33.7,69,2
0,35,70.25,2
0,36.1,66,3
0,34.7,76.5,2
0,30.6,91.75,2
10.3,33.9,75.25,2
0.7,31.5,80.75,1
10.4,33.5,73.75,2
6.4,33,73.75,0
0,32.7,73,0
0,33.5,68.75,1
0,34.1,69,2
0,34.7,68.75,3
0,35.3,70.5,3
0,34.8,67.75,3
0,34.1,68,3
0,33.9,73.5,3
0.3,33.6,74.75,3
0.2,34.3,71.25,3
0,34.9,68,3
0,33.5,66.75,3
0,33.3,63,3
0,33.3,69.25,3
0,33.5,65.75,3
0,33.9,67.5,2
0,33.5,75.5,2
0,33.3,70.25,2
5.1,34.5,64.75,2
1.3,34.5,65.5,2
0,33.8,70.75,3
0,33.9,66.5,3
0,32.7,69,3
0,33.8,68.25,3
0,34.9,68.5,3
0,35,68,3
0,35.5,66.75,3
0,32.9,83.25,2
0,34.1,77,2
1.4,32.8,72.5,2
16.1,32.1,77.75,3
0,33,67.5,0
0,33,68.75,1
0,34.5,64.75,3
0,33.7,69.25,3
0,34.1,69.5,3
0,33.5,65,3
0,34.7,66,3
0,34.7,64,3
0,31.8,81,2
0,32.4,74.25,2
0.2,34,63.5,2
0,34.1,66,2
0,34.3,61,2
0,34.1,63.25,2
0,34.7,62.5,2
0,34.3,63.75,2
0,34.5,63.75,2
0,34.5,66,2
0,35.5,63.5,2
0,32.5,71.75,1
0,34.7,67.75,2
0,35.4,68.75,2
0,35.6,65.25,2
0,33.6,85.75,1
0,32.1,78.75,1
3.2,29.3,87.25,1
5,33.8,76,3
1.4,32.9,81,2
0,33.3,75,3
9.6,34.8,72,3
0,34.5,72.5,1
0,33.5,66.5,2
0,34.6,62.5,3
0,33.6,63.25,3
0,34.7,63.25,3
0,34.6,61.25,2
0,35.3,54.5,3
0,35.4,58.5,2
0,35.1,60,2
0,35.1,59.5,2
0,35.4,61.5,2
0,35.7,58.75,2
0,33.7,66.25,2
0,35.5,53.25,2
0,35.1,56.25,2
0,34.8,62,2
0,33.5,67,2
0,30.6,74.75,1
0.3,35,65.75,2
0,34.3,67.5,2
0,34.9,68.25,2
0,34.7,62.25,2
0,36.1,55.25,2
0,36.3,50.5,2
0,35.7,53.75,2
0,36.5,48.25,2
0,36.3,54.5,2
0,36.7,53.5,2
0,35.8,58,2
0,36.9,48.5,2
0,36.7,53,1
0,35.3,57.25,1
0,35.6,59,1
0,36.1,58.75,1
0,36.4,57.75,1
0,36.2,61.5,1
0,38,55.25,1
0,36.4,62.5,1
0,36.1,56.25,1
0,36,52,1
0,36.6,55.75,1
0,36.9,60.25,1
0,37,59,1
0,34.3,85.5,1
0,31.3,81.25,1
42.4,35.6,72.75,1
9.5,35.2,67.5,0
0,35.6,65.25,0
0,34.5,65.5,0
0,35.2,61.5,1
0,35.1,69.75,2
0,35.2,64,3
0,35.5,62.5,3
