0,32.4,85.5,0
0,33.1,90,0
32.3,33.4,82.5,0
5.3,31.6,87.25,0
4.3,33,73.25,0
1,30.1,76.5,0
2,27.1,87,0
0,32.9,75.75,0
0,29.7,81,0
0,30.1,86.75,0
10.7,32.5,81,0
0,37.3,84.75,0
4.2,32.3,94.5,0
57,32.4,87.25,0
11.3,33.7,88.5,0
16.4,30.9,84.25,0
6.2,32.7,84.75,0
0,34,78.25,0
0,32.5,80,0
4.7,32.5,81.75,0
0,32.9,73.5,0
0,32.5,73.5,0
13.1,33.1,75.5,0
22.7,33.7,76.25,0
0,33.5,72,0
0,32.7,80.75,0
0.8,30.8,77.25,0
1.8,32.6,72,0
0,32.5,72,0
0,32.3,74.25,0
15.1,33.5,84.5,0
0,28.5,87.5,0
1.7,30.9,75.75,0
8.2,31.9,78,0
0,30.7,84.75,0
5.3,32.3,81.5,0
0,31.5,78.5,0
3,32.5,77.75,0
0,33.9,74.25,0
0,33.1,75,0
0,34.6,77.75,0
0,34.2,72,0
4.6,31.9,77.5,0
0,32.2,76.5,0
1,32.5,75.5,0
0,31.6,88.25,0
0,33.7,75.5,0
0,30.7,81.5,0
27.2,33.9,76.5,0
1.2,32.3,80.25,0
1.1,32.3,74.25,0
9.7,33.3,75.25,0
0,30,83,0
20.6,30.3,90.75,0
0,31.2,85.5,0
32.7,31.9,85,0
9,32.3,82.75,0
2.5,32.3,83,0
0.6,32.5,86.25,0
0.5,25.9,94.75,0
67.3,32.7,81.75,0
16.6,31.1,91.5,0
0,30.1,89,0
6.6,27.9,88.25,0
4.7,30.5,92.75,0
0.3,33.1,72.5,0
8.4,32.7,74.5,0
9.7,32.8,71.5,0
22.1,32.6,77.25,0
0,32.7,72.25,0
0,32.7,87.25,0
29.8,32.7,81.75,0
6,31.3,85,0
0,32.7,88,0
1.3,31.3,89,0
24.4,30.3,87.25,0
0.3,26.1,95.25,0
46.8,31.5,77.5,0
2.4,32.7,76.25,0
0,32.2,82.25,0
0.9,30.7,83,0
7,32.1,76,0
0,31.3,90.75,0
15.7,32.5,81.75,0
29.7,33.7,82.25,0
3.5,33.1,80,0
30.3,33.3,79.75,0
0,31.7,84.75,0
0,32.5,87.25,0
2.7,31.7,95.25,0
30.2,33.9,74.5,0
5,33.2,78,0
0,33.3,79.25,0
0,33.5,85.25,0
3.7,34.1,77.25,0
0,31.9,80.5,0
7.1,34.1,81.5,0
1,33.1,82.5,0
0.8,32.2,83.25,0
0,32.1,87,0
6.9,32.5,80,0
2,33.3,79.75,0
6.5,33.4,65,0
0,33.3,86.25,0
0,33.4,80.25,0
0.9,33.5,81.75,0
3.8,34.3,75.25,0
0,31.3,91.5,0
0,32.9,77.75,0
26.2,32.7,76.25,0
0.2,32.7,80,0
0,32.5,80,0
0,32.5,80.25,0
0,30.9,80,0
0,31.5,87.5,0
12,31.5,83.75,0
4.5,29.8,84.75,0
8.7,31.3,77.75,0
13,32.1,77.5,0
0,31.9,88.5,0
3.5,32.3,77,0
2.7,32.1,84,0
0,33.3,78.75,0
0,32.9,81.75,0
0,31.7,90.75,0
2,32.7,87,0
14.9,31.9,85.75,0
57,32.8,86,0
0,31.6,84.75,0
8,31.7,87.25,0
20.1,30.7,89.25,0
0,32.4,84.75,0
2,31.6,87.75,0
2.5,31.8,82.25,0
10.5,27.8,91.5,0
57.7,32.5,76.5,0
0.5,32.6,75.75,0
0,33.7,78,0
0,34.3,70.5,0
0,32.3,80.5,0
0,32.9,80.25,0
0,33.5,81,0
0,30.5,85.25,0
13,33.3,71.75,0
6.3,33.9,68,0
0,34.3,73.5,0
0,33.7,74,0
0,33.7,70,0
0,35,67.25,0
0,34.9,74.5,0
0,34.7,71,0
0,33.6,71.75,0
0,34.1,70,0
0,34.9,69.25,0
0,33.7,68.25,0
0,35.3,68,0
0,34.9,68.5,0
0,34.1,69.25,0
0,33.9,70.25,0
0,34.1,66.75,0
0,34.9,70,0
0,34.7,70.25,0
0,33.3,73.5,0
0,33.1,72.5,0
0,31.9,81.75,0
0,33.6,67.25,0
0,34.5,66.75,0
0,34.9,66.75,0
0,35.1,65,0
0,33.7,66.75,0
0,34.3,68,0
0,35.1,62.75,0
0,34.9,64.75,0
0,35.3,58.25,0
0,35.7,61,0
0,34.7,63.5,0
0,34.4,65.25,0
