0,38.2,56.75,1
0,38.8,58.25,1
0,38.8,54.25,1
0,37.7,59,1
0,38.7,51.75,1
0,39.4,49,1
0,37.5,57,1
0,37.2,57,1
0,38.3,57.25,0
0,38.8,52,1
0,37,64,1
0,37.7,59.25,1
10.8,37.1,56.25,0
0,38.1,64.25,1
0,37.1,59.5,1
0,36.2,63.75,1
0,36.7,69.5,1
3.4,36.8,57.75,1
0,38.4,61.5,1
0,38.6,70.5,1
0,34.1,71,1
11.4,35.5,67.25,1
0,37.1,63,1
0,38.6,57.25,1
0,37.3,67,1
0,38.3,67.5,1
0,37.6,57.5,1
44.1,36.1,67.5,1
0,38,57.5,0
0,37.8,59.75,1
0,38.4,58.5,0
0,35.8,64.5,1
0,31.2,92.25,1
0,29.6,91.5,0
40,35.1,71.5,0
12.6,36.4,71.75,0
0,32.7,78.75,1
0.2,32.7,82,1
23.8,34,74.5,0
0,31.6,79.5,0
0,35,74.25,0
0,36.4,68.25,1
0,35.6,72.75,1
0,36.7,63.5,1
0.1,34.9,67.75,1
0,36,65.25,0
0,36.9,62.5,1
0,36.9,62.5,0
0,32.9,78.25,1
0,35.2,73.75,0
0,36,64.5,0
0,34.3,67.75,1
0,36.7,61.75,1
0,35.5,68.25,1
0,37,75.25,1
0,35.5,69.5,0
7.1,36.5,66.75,1
0,36.6,62.5,1
0,36.2,65.25,1
0,34.9,69.5,1
8.9,36,68.75,0
0,32,77.5,0
0,27.9,90,0
0,26.1,95.25,0
34,33.1,85.25,0
32.8,33.6,82.5,0
0,32.2,82,0
0,32.3,80.25,0
0,33.6,79.75,0
0,35,77.25,1
0,31.3,86.75,1
27.1,34.3,83,0
0,32.4,80.75,0
0,33.4,75.75,0
0,35.2,73.25,0
0,33.4,75.25,0
0,34.6,83,0
0,32.4,82.5,0
18.1,34.4,81.25,0
32.8,30.7,88.25,0
14.2,34.3,77,0
0,31.2,85.25,0
0,29.4,91.5,0
19.1,33.2,84.25,0
2.5,32.7,78.25,0
11,27.8,89,0
0,33.9,82.25,0
5.4,31.4,87.75,0
26.4,33.9,87.25,0
0,32.6,82.25,0
0,31,85.75,0
139,33.9,77.75,0
0,34.3,75.75,0
0,35.4,74.5,0
